🎈央视直播,#genre#
CCTV1,https://live.v1.mk/api/bestv.php?id=cctv1hd8m/8000000
CCTV1,https://live.v1.mk/api/ghyx.php?id=CCTV1HD_6000
CCTV1,http://live.cooltv.top/tv/aishang.php?id=cctv1hd
CCTV2,http://live.cooltv.top/tv/aishang.php?id=cctv2hd
CCTV2,https://live.v1.mk/api/bestv.php?id=cctv2hd8m/8000000
CCTV2,https://live.v1.mk/api/ghyx.php?id=CCTV2HD_6000
CCTV3,https://live.v1.mk/api/bestv.php?id=cctv38m/8000000
CCTV3,https://live.v1.mk/api/ghyx.php?id=CCTV3HD_6000
CCTV3,http://live.cooltv.top/tv/aishang.php?id=cctv3hd
CCTV4,https://live.v1.mk/api/bestv.php?id=cctv4hd8m/8000000
CCTV4,https://live.v1.mk/api/ghyx.php?id=CCTV4HD_6000
CCTV4,http://live.cooltv.top/tv/aishang.php?id=cctv4hd
CCTV5,https://live.v1.mk/api/bestv.php?id=cctv58m/8000000
CCTV5,https://live.v1.mk/api/ghyx.php?id=CCTV5HD_6000
CCTV5,http://live.cooltv.top/tv/aishang.php?id=cctv5hd
CCTV5+,https://live.v1.mk/api/bestv.php?id=cctv5phd8m/8000000
CCTV5+,https://live.v1.mk/api/ghyx.php?id=CCTV5plusHD_6000
CCTV6,https://live.v1.mk/api/bestv.php?id=cctv6hd8m/8000000
CCTV6,https://live.v1.mk/api/ghyx.php?id=CCTV6HD_6000
CCTV6,http://live.cooltv.top/tv/aishang.php?id=cctv6hd
CCTV7,https://live.v1.mk/api/bestv.php?id=cctv7hd8m/8000000
CCTV7,https://live.v1.mk/api/ghyx.php?id=CCTV7HD_6000
CCTV7,http://live.cooltv.top/tv/aishang.php?id=cctv7hd
CCTV8,https://live.v1.mk/api/bestv.php?id=cctv8hd8m/8000000
CCTV8,https://live.v1.mk/api/ghyx.php?id=CCTV8HD_6000
CCTV8,http://live.cooltv.top/tv/aishang.php?id=cctv8hd
CCTV9,https://live.v1.mk/api/bestv.php?id=cctv9hd8m/8000000
CCTV9,https://live.v1.mk/api/ghyx.php?id=CCTV9HD_6000
CCTV9,http://live.cooltv.top/tv/aishang.php?id=cctv9hd
CCTV10,https://live.v1.mk/api/bestv.php?id=cctv10hd8m/8000000
CCTV10,https://live.v1.mk/api/ghyx.php?id=CCTV10HD_6000
CCTV10,http://live.cooltv.top/tv/aishang.php?id=cctv10hd
CCTV11,https://live.v1.mk/api/bestv.php?id=cctv11hd8m/8000000
CCTV11,https://live.v1.mk/api/ghyx.php?id=CCTV11HD_2000
CCTV11,http://live.cooltv.top/tv/aishang.php?id=cctv11hd
CCTV12,https://live.v1.mk/api/bestv.php?id=cctv12hd8m/8000000
CCTV12,https://live.v1.mk/api/ghyx.php?id=CCTV12HD_6000
CCTV12,http://live.cooltv.top/tv/aishang.php?id=cctv12hd
CCTV13,https://live.v1.mk/api/bestv.php?id=cctv13xwhd8m/8000000
CCTV13,https://live.v1.mk/api/ghyx.php?id=CCTV13HD_2000
CCTV13,http://live.cooltv.top/tv/aishang.php?id=cctv13hd
CCTV14,https://live.v1.mk/api/bestv.php?id=cctvsehd8m/8000000
CCTV14,https://live.v1.mk/api/ghyx.php?id=CCTV14HD_6000
CCTV14,http://live.cooltv.top/tv/aishang.php?id=cctv14hd
CCTV15,https://live.v1.mk/api/bestv.php?id=cctv15hd8m/8000000
CCTV15,https://live.v1.mk/api/ghyx.php?id=CCTV15HD_6000
CCTV15,http://live.cooltv.top/tv/aishang.php?id=cctv15hd
CCTV16,https://live.v1.mk/api/bestv.php?id=cctv16hd8m/8000000
CCTV16,https://live.v1.mk/api/ghyx.php?id=CCTV16HD_6000
CCTV16,http://live.cooltv.top/tv/aishang.php?id=cctv16hd
CCTV17,https://live.v1.mk/api/bestv.php?id=cctv17hd8m/8000000
CCTV17,https://live.v1.mk/api/ghyx.php?id=CCTV17HD_6000
CCTV17,http://live.cooltv.top/tv/aishang.php?id=cctv17hd
第一剧场,http://baidu.live.cqccn.com/__cl/cg:live/__c/diyijuchangHD/__op/default/__f//index.m3u8
都市剧场,http://baidu.live.cqccn.com/__cl/cg:live/__c/dsjcHD/__op/default/__f//index.m3u8
动漫秀场,http://baidu.live.cqccn.com/__cl/cg:live/__c/dmxcHD/__op/default/__f//index.m3u8
风云剧场,http://baidu.live.cqccn.com/__cl/cg:live/__c/fyjcHD/__op/default/__f//index.m3u8
怀旧剧场,http://baidu.live.cqccn.com/__cl/cg:live/__c/hjjcHD/__op/default/__f//index.m3u8
CNC中文,http://source07.v.news.cn/live/CNC_CN/playlist.m3u8
CNC中文,https://source07.v.news.cn/live/CNC_CN/playlist.m3u8
CETV-1,http://txycetvbl.centv.cn/cetv1/ypd.m3u8
CETV-1,https://txycsbl.centv.cn/zb/0628cetv1.m3u8
CETV-2,http://txycetvbl.centv.cn/cetv2/2020tsytk.m3u8
CETV-3,http://txycetvbl.centv.cn/cetv3/bjdm.m3u8
CETV-4,http://txycetvbl.centv.cn/cetv4/zjpd.m3u8
🎈卫视直播,#genre#
湖南卫视,https://live.v1.mk/api/bestv.php?id=hunanwshd8m/8000000
湖南卫视,https://live.v1.mk/api/ghyx.php?id=HuNanHD_6000
浙江卫视,https://live.v1.mk/api/bestv.php?id=zjwshd8m/8000000
浙江卫视,https://live.v1.mk/api/ghyx.php?id=ZheJiangHD_6000
北京卫视,https://live.v1.mk/api/ghyx.php?id=BTV1HD_6000
北京卫视,https://live.v1.mk/api/bestv.php?id=bjwshd8m/8000000
